Entity,languages,Affiliation,English,Spanish,EN_sentiment,ES_sentiment,sentimentDiff_EN-ES,sentimentDiff_ES-EN
Texas Latino Conservatives,en,R,John Graves - live\n\nPowered by Restream https://restream.io/,John Graves - livennPowered,2.8909,4.0311,-1.1402000000000005,1.1402000000000005
Kim Bost for NC,en,R,Daily updates on COVID-19 in Catawba County and the state.\nAdding some important conversations.\nLinks and resources in the comments.,Daily updates on COVID-19 in Catawb,4.0182,3.7681,0.2501000000000002,-0.2501000000000002
Dan Flynn for Texas,en,R,"Clearly my opponent and his West Texas masters have no respect for the Governor and common decency. Do you think they would have any respect for you? Still waiting for my opponent to distance himself from those West Texas Billionaires who are trying to buy this house seat and call for the termination of those involved, disassociate himself from the lies of that organization and return the funding they gave him.  Why isn’t he talking??? Is this how he will act when his Masters tell him to vote one way and you want something different ??",en to es en to es en to es,1.6777,3.1241,-1.4464,1.4464
Josh Winegarner,en,R,"The same people who were just revealed in an audio file making fun of Governor Abbott for being in a wheelchair are the same dark-money, special interest groups from Austin — Empower Texans, Texas Scorecard, and their affiliated groups — who have been attacking me to prop up my move-in opponent. These comments are absolutely despicable, and their true colors are now out in broad daylight. Yet, my opponent continues to embrace these fake news groups and share their false claims about my conservative credentials.","Dieselben Leute, die gerade in einem Audio-Dateien",3.1018,2.034,1.0678,-1.0678
Dan Flynn for Texas,en,R,"WOW, shameful! As someone who has faced mudslinging and false allegations from this group, I know what lengths this extremist organization will stoop to. But for this organization to mock Governor Abbott in such a bigoted way is a new low and completely beyond the pale.\n\nA significant majority of my opponent's campaign contributions have come from two major funders of this group, and my opponent needs to speak out against this disgusting tirade loudly and clearly, disavow this group, and return their dirty money.\n\nRejecting this crew is key to a strong and united Republican Party!",nnnAn es a saft,1.2515,2.0434,-0.7919,0.7919
Dan Flynn for Texas,en,R,"WOW, shameful! As someone who has faced mudslinging and false allegations from Empower Texans, I know what lengths this extremist organization will stoop to. But for this organization to mock Governor Abbott in such a bigoted way is a new low and completely beyond the pale.\n\nA significant majority of my opponent Bryan Slaton's campaign contributions have come from two major funders of Empower -- Tim Dunn and Farris Wilks -- and Mr. Slaton needs to speak out against this disgusting tirade loudly and clearly, disavow Empower Texans, and return their dirty money.\n\nRejecting this crew is key to a strong and united Republican Party!",nnAn es a es a e,1.6597,2.4248,-0.7650999999999999,0.7650999999999999
Texas Scorecard,en,R,"“The defense of the Alamo in 1836 depended upon the courageous actions of our state’s leaders and defending it in 2020 requires the same,” -Kyle Biedermann \n\nRepublican lawmakers are piling on to criticism of George P. Bush\'s plan to reimagine the alamo, meanwhile Governor Greg Abbott remains silent...",„Die Verteidigung des Alamo in 18,2.4584,4.0547,-1.5963000000000003,1.5963000000000003
Texas Scorecard,en,R,"In a STUNNING show of cowardice, Governor Greg Abbott turns his back on Texans' liberty today. Is this an effort to save face after being bested by the Bexar County Judge? Probably. \n\nCue power grabs from democrat local lawmkers and outrage from conservatives across the state. 🤯",nnCue power grabs from democrat local lawmkers and out,3.1143,2.0546,1.0596999999999999,-1.0596999999999999
"Justice Larry Doss, 7th Court of Appeals",en,R,"Republican Justice Larry Doss is trusted by Governor Greg Abbott to serve on your Court of Appeals. This election, vote for experience. Vote for Justice Larry Doss. Early voting: June 29th-July 10th. Election Day is July 14th.",en to es Republican Justice Larry Doss is trusted by Governor Greg Abbott to,3.5363,3.8319,-0.29559999999999986,0.29559999999999986
Benjamin Hernandez,en,R,Abbott trying to blame young people for Texas spike in COVID-19 cases. He should blame his bad call to reopen the state early.,"Abbott versucht, junge Leute für den steil er",2.0253,3.4152,-1.3899,1.3899
Republican Party of Texas,en,R,"We need 1,000 Texans to sign Governor Abbott’s Father’s Day card. Help wish him a happy Father’s Day Today! Sign here ⬇️",en to es en to es en es en,3.8964,3.3549,0.5414999999999996,-0.5414999999999996
Texas Public Policy Foundation,en,R,"👏👏👏 Texas Gov. Greg Abbott is encouraging local governments to lower—not raise—taxes on their citizens. \n\nThe TPPF Take: Despite widespread private sector job losses and Great Depression-like economic conditions, public sector employment has barely taken notice.","Gov. Greg Abbott ermuntert die lokalen Regierungen, die",2.262,3.8751,-1.6131000000000002,1.6131000000000002
Justin Berry,en,R,I'm honored and excited to be endorsed by Governor Greg Abbott! I look forward to working with him for the people of western Travis County and all Texans. Early voting is June 29th - July 10th. The Runoff Election is July 14th!,Ich bin ehrend und erfreu,4.5817,4.6536,-0.0719000000000003,0.0719000000000003
Texas Scorecard,en,R,The Texas Enterprise Fund- Have you heard of it? What about the Moving Image Industry Incentive Program?\n\nLearn more about how lawmakers are spending YOUR tax dollars and what YOU can do to stop the budget crisis:,The Texas Enterprise Fund- Have you heard of it?,2.3754,3.3376,-0.9622000000000002,0.9622000000000002
Gina Ortiz Jones,en,R,"For my tenth virtual town hall, I spoke with Congresswoman Veronica Escobar (TX-16) about the need for criminal justice reform in the wake of George Floyd’s murder, the disproportionate impact COVID-19 has had on communities of color across South and West Texas, and our continued commitment to fight for all Texans. I’m Gina Ortiz Jones, and I’m running for Congress in TX-23.",en to es en to es en to es,4.273,3.1241,1.1488999999999998,-1.1488999999999998
Texas 2036,en,R,"Join The Texas Tribune at 8 a.m. CT June 18 for a discussion with Tom Luce, Texas 2036’s founder and chair, and Margaret Spellings, the organization’s president and CEO, moderated by Tribune CEO Evan Smith.\n\nLuce and Spellings will be answering questions about their organization’s latest research and data analysis on what the state needs to do between now and its bicentennial year to be the best place to live and work for the next generation of Texans. Texas 2036 is a public policy nonprofit that conducts research for policymakers to make informed decisions about the state’s future ahead of the year 2036 — Texas' bicentennial — when the state is expected to have 10 million more people.\n\nThe impact of the coronavirus outbreak heightens the stakes for state leaders to grow the economy, prepare our workforce, improve education outcomes, increase health care access and invest in infrastructure.\n\nLuce founded Texas 2036 in 2016. He was recently appointed to Gov. Greg Abbott’s Strike Force to Reopen Texas. Previously, he served as assistant secretary of education under former President George W. Bush and as chief justice of the Texas Supreme Court pro tempore. Luce is also founder of the Meadows Mental Health Policy Institute.\n\nSpellings is the president and CEO of Texas 2036. Previously, she served as U.S. secretary of education under President George W. Bush from 2005 to 2009, and most recently she served as president of the University of North Carolina System. Spellings also served as senior adviser to Bush during his tenure as governor of Texas.\n\nWhat do you want us to ask Luce and Spellings? Send your questions to events@texastribune.org or tweet us using the hashtag #AskTrib.",es 18 at 8 a.m. CT June 18 for a,3.6515,2.5638,1.0877,-1.0877
Harris County Democratic Party,en,R,Win Texas. Lose Trump.\n\nGet in the fight today: https://harrisdemocrats.org/action-center,en to es. Win Texas. Lose Trump.nnGet,2.7611,2.3736,0.38749999999999973,-0.38749999999999973
Omega Knockerball LLC,en,R,"#houston CAN WE MAKE THIS HAPPEN? Sylvester Turner Houston Police Department Houston Fire Department #Texas Slim Thug University of Houston Discovery Green U.S. Department of Veterans Affairs Houston Food Bank Houston Zoo Inc Texas Southern University Fox News KBXX 97.9 The Box 93.7 The Beat  James Harden #13 The New 93Q Office of the Governor Greg Abbott #htown Quanell X - Official Page  Turkey Leg Hut the breakfast klub Sylvester Turner Park. Acres Homes Houston, Texas Houston Texans on CBS Sports Trae the Truth Houston Chronicle #equality Deshaun Watson JJ Watt Houston Rockets Russell Westbrook Burns Original BBQ\n\nhttps://www.facebook.com/100000725078190/posts/3318812414819562/', 'The protest I heard of today reminded me of this from 2016. This is how our community is. Always being the exception to all the violence happening around the country. Thank you Wichita for the peaceful protest today and breaking that mold. Our thoughts and prayers go out to Mr. Floyd’s family. He will have the justice he and his family are well deserved.",: #houston CAN WE MAKE THIS HAPPEN? Sylvester Turner,3.6461,2.9196,0.7265000000000001,-0.7265000000000001
